Ticker,Sector,Industry,PE_Ratio,PB_Ratio,ROE,Debt_to_Equity,Ind_Avg_PE,Ind_Avg_PB,Ind_Avg_ROE,Ind_Avg_Debt_Equity,Beats_Ind_PE,Beats_Ind_PB,Beats_Ind_Debt,Beats_Ind_ROE,Total_Metrics_Beaten,RSI_14d,Good_Momentum
COST,Consumer Defensive,Discount Stores,48.309895,25.80208,0.29152,60.257,34.4264125,15.0550375,0.255835,88.9025,No,No,Yes,Yes,3,56.002073650657486,Yes
PG,Consumer Defensive,Household & Personal Products,21.79154,6.28666,0.30290002,64.49,24.109022599999996,35.90854228,0.663170004,554.4639999999999,Yes,Yes,Yes,No,3,44.04154932614892,No
CRM,Technology,Software - Application,23.306711,4.817349,0.16908,124.282,44.40717484615384,12.75701541875,0.1575993334666666,63.50013333333334,Yes,Yes,No,Yes,4,65.85320302281056,Yes
ADP,Technology,Software - Application,25.249544,18.219774,0.72239,91.436,44.40717484615384,12.75701541875,0.1575993334666666,63.50013333333334,Yes,No,No,Yes,3,66.85211973823553,Yes
BAC,Financial Services,Banks - Diversified,14.801385,1.6290478,0.111990005,,14.548403,1.806136625,0.12523000125,,No,Yes,,No,2,66.9637110198292,Yes
NOW,Technology,Software - Application,79.53125,10.511316,0.14244,67.538,44.40717484615384,12.75701541875,0.1575993334666666,63.50013333333334,No,Yes,No,No,2,66.85483080558961,Yes
TXN,Technology,Semiconductors,42.001534,13.863509,0.35176,78.036,54.09527633333333,12.04603556,0.340206001,42.3612,Yes,No,No,Yes,2,42.96047428746319,No
KO,Consumer Defensive,Beverages - Non-Alcoholic,26.252253,10.405904,0.42054,115.519,24.788931333333338,6.924831233333333,0.3288733333333333,151.37233333333333,No,No,Yes,Yes,3,60.7415756765288,Yes
NFLX,Communication Services,Entertainment,23.285715,10.805137,0.49541,55.236,19.818455333333333,4.171202425,0.15764,63.22475,No,No,Yes,Yes,3,62.30258153784607,Yes
SPGI,Financial Services,Financial Data & Stock Exchanges,25.709854,3.9555473,0.14255,42.98,25.108762,8.349881766666666,0.2553183316666667,86.28416666666665,No,Yes,Yes,No,3,53.49143247438157,Yes
PRU,Financial Services,Insurance - Life,11.310063,1.3550798,0.12011,163.891,14.334661,1.8756368666666667,0.1400433333333333,132.39633333333333,Yes,Yes,No,No,3,67.91375404083358,Yes
ORCL,Technology,Software - Infrastructure,26.299664,11.980062,0.53376,388.87,78.68721981818182,158.2196027153846,0.6039858355916666,4852.889666666667,Yes,Yes,Yes,No,4,61.470893642115115,Yes
ADBE,Technology,Software - Application,14.788955,9.370214,0.62953997,61.443,44.40717484615384,12.75701541875,0.1575993334666666,63.50013333333334,Yes,Yes,Yes,Yes,5,63.78510203458698,Yes
AXP,Financial Services,Credit Services,20.827272,6.766762,0.34377,172.38,19.09603075,20.07863005,0.6518050000000001,187.88375,No,Yes,Yes,No,3,51.90904560287431,Yes
XOM,Energy,Oil & Gas Integrated,20.413128,2.514426,0.12584,15.921,19.7113715,2.27839065,0.124075,17.439999999999998,No,No,Yes,Yes,3,62.22607211836653,Yes
BRK-B,Financial Services,Insurance - Diversified,12.820687,0.0010165783,0.121199995,17.142,9.984963533333334,1.1251721594333333,0.180390005,19.102666666666664,No,Yes,Yes,No,2,49.95577399124104,No
IBM,Technology,Information Technology Services,20.967285,6.484905,0.34460998,188.97,14.9647392,-10.43693778,0.478174,142.17374999999998,No,No,No,No,1,50.932933700163325,Yes
JNJ,Healthcare,Drug Manufacturers - General,30.403711,7.4277287,0.25742,57.709,46.29609,2.0260299374999997,0.36770714,191.1494285714286,Yes,No,Yes,No,3,58.08967227726699,Yes
INTU,Technology,Software - Application,21.886988,4.763545,0.22496,33.448,44.40717484615384,12.75701541875,0.1575993334666666,63.50013333333334,Yes,Yes,Yes,Yes,4,72.41393039340643,No
MS,Financial Services,Capital Markets,17.639742,3.2208965,0.17969999,517.282,17.881495333333334,3.465085733333334,0.1838166633333333,464.5896666666667,Yes,Yes,No,No,3,54.97377238241708,Yes
CSCO,Technology,Communication Equipment,34.17771,9.150068,0.27319,58.731,42.36991,13.694613266666666,0.41733668,166.87033333333332,Yes,Yes,Yes,No,3,43.74405567857874,No
HON,Industrials,Conglomerates,8.992698,4.000718,0.46577,185.369,20.833557,17.95511,0.6423449800000001,311.653,Yes,Yes,Yes,No,3,46.66138099203838,No
PEG,Utilities,Utilities - Regulated Electric,18.88806,2.1820846,0.11835,142.409,17.49529742857143,2.0865267,0.1134457142857142,176.60742857142856,No,No,Yes,Yes,2,40.431338732102176,No
COP,Energy,Oil & Gas E&P,16.4709,2.2890968,0.1418,35.639,21.167981625000003,1.6510234499999998,0.0929050005,31.9115,Yes,No,No,Yes,3,62.18448788008162,Yes
DIS,Communication Services,Entertainment,21.608248,1.6477469,0.0801,39.404,19.818455333333333,4.171202425,0.15764,63.22475,No,Yes,Yes,No,3,64.04628842538045,Yes
ABBV,Healthcare,Drug Manufacturers - General,70.85311,-74.671036,,,46.29609,2.0260299374999997,0.36770714,191.1494285714286,No,Yes,,,2,53.38248638806154,Yes
GILD,Healthcare,Drug Manufacturers - General,,14.492237,-0.2068,223.465,46.29609,2.0260299374999997,0.36770714,191.1494285714286,,No,No,No,1,61.96979203368685,Yes
NEE,Utilities,Utilities - Regulated Electric,19.32809,3.1404264,0.11677,161.676,17.49529742857143,2.0865267,0.1134457142857142,176.60742857142856,No,No,Yes,Yes,2,43.76798482344399,No
AMAT,Technology,Semiconductor Equipment & Materials,51.54677,17.750547,0.39692003,30.399,55.027725,28.783711000000004,0.523790035,31.724,Yes,Yes,Yes,No,3,49.447061253811874,No
RTX,Industrials,Aerospace & Defense,39.231316,4.4767513,0.12274,57.02,82.2465168,12.72012786,0.256833996,79.4648,Yes,Yes,Yes,No,4,67.71596935649416,Yes
MRK,Healthcare,Drug Manufacturers - General,106.732285,7.29705,0.06961,128.408,46.29609,2.0260299374999997,0.36770714,191.1494285714286,No,No,Yes,No,2,68.50587620758198,Yes
AMD,Technology,Semiconductors,123.53197,11.726105,0.10196,6.361,54.09527633333333,12.04603556,0.340206001,42.3612,No,Yes,Yes,No,2,47.169499512185304,No
TT,Industrials,Building Products & Equipment,35.701794,12.299869,0.36643,53.404,36.347258999999994,6.665450816666667,0.2144216776666666,107.20183333333334,Yes,No,Yes,Yes,4,52.13610430259241,Yes
GE,Industrials,Aerospace & Defense,42.528305,21.212872,0.48231998,113.225,82.2465168,12.72012786,0.256833996,79.4648,Yes,No,No,Yes,3,50.023761333352105,Yes
BR,Technology,Information Technology Services,17.629478,7.069737,0.40916002,123.939,14.9647392,-10.43693778,0.478174,142.17374999999998,No,No,Yes,No,2,66.91660711457439,Yes
GIS,Consumer Defensive,Packaged Foods,,3.757968,-0.01028,217.629,16.408202,1.876540833333333,0.0184933333333333,106.5365,,No,No,No,1,64.8779194094465,Yes
CMI,Industrials,Specialty Industrial Machinery,32.57401,6.768144,0.21114,59.586,32.3772535,4.7464518,0.1492199983333333,55.88616666666667,No,No,No,Yes,1,43.29680317695471,No
MCD,Consumer Cyclical,Restaurants,22.425865,-188.27802,,,38.45532566666667,-61.86823866666666,0.49560001,246.35,Yes,Yes,,,3,50.35249587400817,Yes
AMT,Real Estate,REIT - Specialty,27.474764,21.820118,0.33914003,438.721,74.84069828571428,-1.391046814285714,0.1313375075,181.62675,Yes,No,No,Yes,3,54.5173611902593,Yes
KMI,Energy,Oil & Gas Midstream,20.43312,2.2564538,0.109910004,98.619,22.3361246,7.77539416,0.3174539908,240.2548,Yes,Yes,Yes,No,4,55.01763060158418,Yes
PEP,Consumer Defensive,Beverages - Non-Alcoholic,18.191462,8.692588,0.51508,238.949,24.788931333333338,6.924831233333333,0.3288733333333333,151.37233333333333,Yes,No,No,Yes,3,53.870697847014256,Yes
NI,Utilities,Utilities - Regulated Gas,22.38298,2.0885448,0.085489996,146.649,22.38298,2.0885448,0.085489996,146.649,No,No,No,No,0,30.646399606729588,No
CRH,Basic Materials,Building Materials,17.261484,2.706821,0.15812,77.592,26.363816999999997,2.77006415,0.12353,66.2685,Yes,Yes,No,Yes,3,42.775076136322205,No
BKNG,Consumer Cyclical,Travel Services,23.704445,-14.996485,,,21.3577445,-3.4499575,0.44669998,224.816,No,Yes,,,1,71.35575645632746,No
ECL,Basic Materials,Specialty Chemicals,37.032173,7.701701,0.21956,138.023,28.113555666666667,5.315857975,0.1491924975,100.99975,No,No,No,Yes,1,48.75026738260951,No
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,11.981042,9.674703,0.64911,293.996,11.981042,9.674703,0.64911,293.996,No,No,No,No,1,50.73216800987196,Yes
CVX,Energy,Oil & Gas Integrated,19.009615,2.0423553,0.12231,18.959,19.7113715,2.27839065,0.124075,17.439999999999998,Yes,Yes,No,No,3,62.29084897462591,Yes
LOW,Consumer Cyclical,Home Improvement Retail,18.24582,-13.206245,,,21.2571435,5.6741125,1.2838,459.356,Yes,Yes,,,3,53.46371905141808,Yes
VZ,Communication Services,Telecom Services,12.238579,1.9278747,0.15842,184.081,9.502184666666668,1.4976998333333336,0.1522299986666666,137.86966666666666,No,No,No,Yes,2,64.35450547059264,Yes
ELV,Healthcare,Healthcare Plans,17.604774,1.9238983,0.11133,68.953,22.767939,2.2073586,0.057156,72.0042,Yes,Yes,Yes,Yes,5,54.43255062239808,Yes
ISRG,Healthcare,Medical Instruments & Supplies,46.070034,7.816237,0.17423001,,51.75042266666667,4.860575425,0.0741550025,36.452,Yes,No,,Yes,3,59.84937236840705,Yes
PNC,Financial Services,Banks - Regional,14.068357,1.5926708,0.12623,,13.22531725,1.3944307,0.1082675,,No,No,,Yes,2,62.02580934452958,Yes
BK,Unknown,Unknown,,,,,,,,,,,,,0,,N/A
OKE,Energy,Oil & Gas Midstream,16.0,2.610607,0.16277,143.07,22.3361246,7.77539416,0.3174539908,240.2548,Yes,Yes,Yes,No,4,59.89067012339963,Yes
GWW,Industrials,Industrial Distribution,33.225548,15.066016,0.46091,61.977,25.23404366666667,9.5304956,0.3867299899999999,102.52566666666668,No,No,Yes,Yes,2,47.26840941460399,No
GS,Financial Services,Capital Markets,16.102394,2.84521,0.16902,725.381,17.881495333333334,3.465085733333334,0.1838166633333333,464.5896666666667,Yes,Yes,No,No,2,49.39502099039501,No
ADSK,Technology,Software - Application,37.603497,17.06762,0.50396,85.419,44.40717484615384,12.75701541875,0.1575993334666666,63.50013333333334,Yes,No,No,Yes,3,69.7449297008829,Yes
MCO,Financial Services,Financial Data & Stock Exchanges,30.95184,27.962446,0.76932,240.682,25.108762,8.349881766666666,0.2553183316666667,86.28416666666665,No,No,No,Yes,2,55.89143925286567,Yes
LIN,Basic Materials,Specialty Chemicals,30.87153,5.6406145,0.18400998,68.947,28.113555666666667,5.315857975,0.1491924975,100.99975,No,No,Yes,Yes,2,33.570916369891336,No
MMM,Industrials,Conglomerates,32.674416,31.909502,0.81891996,437.937,20.833557,17.95511,0.6423449800000001,311.653,No,No,No,Yes,2,66.98709870502579,Yes
EQIX,Real Estate,REIT - Specialty,68.964676,7.366919,0.10735,162.217,74.84069828571428,-1.391046814285714,0.1313375075,181.62675,Yes,No,Yes,No,3,57.21775066396419,Yes
MMC,Unknown,Unknown,,,,,,,,,,,,,0,,N/A
CCI,Real Estate,REIT - Specialty,30.171316,-9.865816,,,74.84069828571428,-1.391046814285714,0.1313375075,181.62675,Yes,Yes,,,2,46.77985110596102,No
PGR,Financial Services,Insurance - Property & Casualty,10.407075,3.534598,0.34943,24.428,11.269478333333334,2.7132821333333332,0.2659866633333334,29.339,Yes,No,Yes,Yes,3,44.251266942291046,No
VRTX,Healthcare,Biotechnology,30.113121,6.461881,0.23542999,9.767,29.656065333333338,8.799849425,0.2378574925,64.49025,No,Yes,Yes,No,3,62.83690071537113,Yes
EW,Healthcare,Medical Devices,55.095238,5.0263367,0.09175,6.568,35.9182226,5.7168182000000005,0.163952004,42.5584,No,Yes,Yes,No,3,63.06590741114958,Yes
CAT,Industrials,Farm & Heavy Construction Machinery,36.899826,20.254543,0.56972003,232.783,37.725082,9.314798066666668,0.26411668,314.61633333333333,Yes,No,Yes,Yes,3,45.88387988692055,No
DHR,Healthcare,Diagnostics & Research,36.605026,2.7255836,0.07605,52.97,40.703307125,285.9395879375,0.2203071412857142,2161.667375,Yes,Yes,Yes,No,4,57.4611459535982,Yes
LNG,Energy,Oil & Gas Midstream,20.203186,8.948588,0.39116,243.42,22.3361246,7.77539416,0.3174539908,240.2548,Yes,No,No,Yes,3,56.64365108760741,Yes
UNP,Industrials,Railroads,24.093044,9.104501,0.39696,150.772,24.093044,9.104501,0.39696,150.772,No,No,No,No,1,59.36947295539444,Yes
NXPI,Technology,Semiconductors,46.474953,5.1322284,0.27921,93.325,54.09527633333333,12.04603556,0.340206001,42.3612,Yes,Yes,No,No,2,36.92167393064648,No
MET,Financial Services,Insurance - Life,18.672415,2.2652693,0.13094,179.933,14.334661,1.8756368666666667,0.1400433333333333,132.39633333333333,No,No,No,No,1,62.894837506951845,Yes
LRCX,Technology,Semiconductor Equipment & Materials,58.50868,39.816875,0.65066004,33.049,55.027725,28.783711000000004,0.523790035,31.724,No,No,No,Yes,2,56.116135120084884,Yes
WMB,Energy,Oil & Gas Midstream,29.333334,6.790629,0.21503,200.371,22.3361246,7.77539416,0.3174539908,240.2548,No,Yes,Yes,No,3,51.683565317290146,Yes
C,Financial Services,Banks - Diversified,14.821581,1.2091024,0.08529,,14.548403,1.806136625,0.12523000125,,No,Yes,,No,2,58.49320599046939,Yes
CI,Healthcare,Healthcare Plans,11.468234,1.7199903,0.16758,74.29,22.767939,2.2073586,0.057156,72.0042,Yes,Yes,No,Yes,3,45.9061416424516,No
EXPD,Industrials,Integrated Freight & Logistics,27.266764,11.478981,0.4267,26.745,26.5761666,7.6019212399999985,0.285378,102.3806,No,No,Yes,Yes,3,68.17551274603453,Yes
LKQ,Consumer Cyclical,Auto Parts,14.000001,0.99048823,0.07131,82.105,14.000001,0.99048823,0.07131,82.105,No,No,No,No,1,51.96887782829965,Yes
PNR,Industrials,Specialty Industrial Machinery,16.929115,2.8362389,0.17126,47.067,32.3772535,4.7464518,0.1492199983333333,55.88616666666667,Yes,Yes,Yes,Yes,4,46.857677260325325,No
AMGN,Healthcare,Drug Manufacturers - General,25.968924,19.326548,0.91473,490.281,46.29609,2.0260299374999997,0.36770714,191.1494285714286,Yes,No,No,Yes,2,73.0826460821226,No
VLTO,Industrials,Pollution & Treatment Controls,24.56927,7.691216,0.34312,115.978,24.56927,7.691216,0.34312,115.978,No,No,No,No,1,60.7838257393662,Yes
WELL,Real Estate,REIT - Healthcare Facilities,103.277534,3.772407,0.03836,41.375,103.277534,3.772407,0.03836,41.375,No,No,No,No,1,50.872730070469544,Yes
IDXX,Healthcare,Diagnostics & Research,39.840477,27.729519,0.74211,67.971,40.703307125,285.9395879375,0.2203071412857142,2161.667375,Yes,Yes,Yes,Yes,4,49.22295071440651,No
PANW,Technology,Software - Infrastructure,332.7731,11.6361065,0.048309997,7.698,78.68721981818182,158.2196027153846,0.6039858355916666,4852.889666666667,No,Yes,Yes,No,2,72.71795841008665,No
XYL,Industrials,Specialty Industrial Machinery,28.647621,2.5529387,0.09182999,28.642,32.3772535,4.7464518,0.1492199983333333,55.88616666666667,Yes,Yes,Yes,No,4,51.33666027153652,Yes
DE,Industrials,Farm & Heavy Construction Machinery,34.71542,6.031696,0.18349001,376.022,37.725082,9.314798066666668,0.26411668,314.61633333333333,Yes,Yes,No,No,3,51.803517069520886,Yes
MSI,Technology,Communication Equipment,37.02548,28.803965,0.91567004,357.85,42.36991,13.694613266666666,0.41733668,166.87033333333332,Yes,No,No,Yes,3,65.93499830902192,Yes
PFE,Healthcare,Drug Manufacturers - General,35.263157,1.7931218,0.05014,74.253,46.29609,2.0260299374999997,0.36770714,191.1494285714286,Yes,Yes,Yes,No,4,67.62751389640991,Yes
PPG,Basic Materials,Specialty Chemicals,16.436964,3.0208006,0.19297001,86.938,28.113555666666667,5.315857975,0.1491924975,100.99975,Yes,Yes,Yes,Yes,4,48.33950381642363,No
STE,Healthcare,Medical Devices,28.824179,3.1938038,0.11389,28.312,35.9182226,5.7168182000000005,0.163952004,42.5584,Yes,Yes,Yes,No,4,63.47006214191112,Yes
TSCO,Consumer Cyclical,Specialty Retail,18.937172,7.1980095,0.39513,248.71,20.6407,9.4327057,0.44208,154.226,Yes,Yes,No,No,2,73.66364776019819,No
QCOM,Technology,Semiconductors,18.620337,6.2976265,0.33754003,55.21,54.09527633333333,12.04603556,0.340206001,42.3612,Yes,Yes,No,No,2,45.95948921722523,No
KR,Consumer Defensive,Grocery Stores,33.467834,6.1856894,0.13779001,373.449,33.467834,6.1856894,0.13779001,373.449,No,No,No,No,0,46.97021257293657,No
UBER,Technology,Software - Application,16.64035,6.2432117,0.3716,51.872,44.40717484615384,12.75701541875,0.1575993334666666,63.50013333333334,Yes,Yes,Yes,Yes,5,56.868004240437585,Yes
INTC,Technology,Semiconductors,,6.0233884,-0.10715,48.997,54.09527633333333,12.04603556,0.340206001,42.3612,,Yes,No,No,2,53.20562268404119,Yes
DLR,Real Estate,REIT - Specialty,250.10126,2.7377787,0.02912,67.944,74.84069828571428,-1.391046814285714,0.1313375075,181.62675,No,No,Yes,No,2,60.78572809258734,Yes
NDAQ,Financial Services,Financial Data & Stock Exchanges,27.882856,4.5750318,0.16521999,77.687,25.108762,8.349881766666666,0.2553183316666667,86.28416666666665,No,Yes,Yes,No,3,67.36018151097085,Yes
WFC,Financial Services,Banks - Diversified,12.919354,1.6563898,0.12575,,14.548403,1.806136625,0.12523000125,,Yes,Yes,,Yes,4,57.148527974820546,Yes
SNPS,Technology,Software - Infrastructure,94.43807,2.586353,0.03824,35.574,78.68721981818182,158.2196027153846,0.6039858355916666,4852.889666666667,No,Yes,Yes,No,3,51.222654043033565,Yes
D,Utilities,Utilities - Regulated Electric,23.553265,2.1594203,0.08281,160.459,17.49529742857143,2.0865267,0.1134457142857142,176.60742857142856,No,No,Yes,No,1,47.61919200990211,No
RJF,Financial Services,Asset Management,15.779425,2.738207,0.18416001,47.594,23.227159,4.3795234,0.25351500125,52.044,Yes,Yes,Yes,No,4,68.24731286715377,Yes
BMY,Healthcare,Drug Manufacturers - General,14.240088,5.91762,0.46598998,201.859,46.29609,2.0260299374999997,0.36770714,191.1494285714286,Yes,No,No,Yes,3,61.387282161833156,Yes
CLX,Consumer Defensive,Household & Personal Products,22.195833,143.19893,1.6376,2221.429,24.109022599999996,35.90854228,0.663170004,554.4639999999999,Yes,No,No,Yes,3,66.56824660230286,Yes
SBUX,Consumer Cyclical,Restaurants,62.745667,-16.122086,,,38.45532566666667,-61.86823866666666,0.49560001,246.35,No,No,,,1,62.01151517182708,Yes
FLUT,Consumer Cyclical,Gambling,,1.9493239,-0.07874,134.484,,1.9493239,-0.07874,134.484,,No,No,No,0,44.91462339111593,No
ANET,Technology,Computer Hardware,64.43671,17.35447,0.31476,,31.319586333333337,-52.90333,0.811645,11.868,No,No,,No,1,63.55825778539186,Yes
T,Communication Services,Telecom Services,8.112211,1.5308919,0.18339,129.054,9.502184666666668,1.4976998333333336,0.1522299986666666,137.86966666666666,Yes,No,Yes,Yes,4,63.90265439275567,Yes
KHC,Consumer Defensive,Packaged Foods,,0.8359959,-0.0876,52.591,16.408202,1.876540833333333,0.0184933333333333,106.5365,,Yes,Yes,No,3,50.16796679395086,Yes
CDNS,Technology,Software - Application,64.11287,13.001766,0.23229,38.661,44.40717484615384,12.75701541875,0.1575993334666666,63.50013333333334,No,No,Yes,Yes,2,36.02592424405616,No
SCHW,Financial Services,Capital Markets,19.90235,4.3291507,0.20273,151.106,17.881495333333334,3.465085733333334,0.1838166633333333,464.5896666666667,No,No,Yes,Yes,2,74.1935330299705,No
CMCSA,Communication Services,Telecom Services,8.155764,1.0343329,0.114879996,100.474,9.502184666666668,1.4976998333333336,0.1522299986666666,137.86966666666666,Yes,Yes,Yes,No,4,65.96100243521084,Yes
CBOE,Financial Services,Financial Data & Stock Exchanges,22.68421,5.4468746,0.26297,28.09,25.108762,8.349881766666666,0.2553183316666667,86.28416666666665,Yes,Yes,Yes,Yes,5,54.82615495080361,Yes
CHD,Consumer Defensive,Household & Personal Products,32.47436,5.5260434,0.17041,55.851,24.109022599999996,35.90854228,0.663170004,554.4639999999999,No,Yes,Yes,No,3,55.28124304796803,Yes
USB,Financial Services,Banks - Regional,12.982071,1.6748477,0.12623,,13.22531725,1.3944307,0.1082675,,Yes,No,,Yes,3,65.56391610558133,Yes
TAP,Consumer Defensive,Beverages - Brewers,,0.7779255,-0.19466,76.03,,0.7779255,-0.19466,76.03,,No,No,No,1,54.157849761256685,Yes
DECK,Consumer Cyclical,Footwear & Accessories,13.271693,5.542355,0.42558,20.521,13.271693,5.542355,0.42558,20.521,No,No,No,No,0,37.824945856143906,No
ETN,Industrials,Specialty Industrial Machinery,46.92857,8.693309,0.19684,105.059,32.3772535,4.7464518,0.1492199983333333,55.88616666666667,No,No,No,Yes,2,62.192579517683384,Yes
AXON,Industrials,Aerospace & Defense,250.23984,13.609312,0.06221,50.363,82.2465168,12.72012786,0.256833996,79.4648,No,No,Yes,No,2,59.07827396187576,Yes
MELI,Consumer Cyclical,Internet Retail,49.7483,11.831266,0.27504,168.586,35.5390735,8.50702025,0.29031001,107.1015,No,No,No,No,0,49.928974756519196,No
MCK,Healthcare,Medical Distribution,22.986048,-23.43757,,,26.078099666666663,-7.578827,0.96871,446.516,Yes,Yes,,,3,52.93165424962683,Yes
CMS,Utilities,Utilities - Regulated Electric,21.174175,2.3153713,0.09158,185.604,17.49529742857143,2.0865267,0.1134457142857142,176.60742857142856,No,No,No,No,0,40.726535384744196,No
COR,Healthcare,Medical Distribution,23.309023,19.39017,0.96871,446.516,26.078099666666663,-7.578827,0.96871,446.516,Yes,No,No,No,2,50.21124929533784,Yes
FERG,Industrials,Industrial Distribution,24.159687,7.7406874,,111.063,25.23404366666667,9.5304956,0.3867299899999999,102.52566666666668,Yes,Yes,No,,3,55.636391633528845,Yes
TGT,Consumer Defensive,Discount Stores,20.54293,4.307995,0.22015,117.548,34.4264125,15.0550375,0.255835,88.9025,Yes,Yes,No,No,2,75.4676132002605,No
DAL,Industrials,Airlines,15.142619,2.7376847,0.20125,96.649,15.142619,2.7376847,0.20125,96.649,No,No,No,No,1,57.28676135223011,Yes
TRGP,Energy,Oil & Gas Midstream,25.710983,18.270693,0.70839995,515.794,22.3361246,7.77539416,0.3174539908,240.2548,No,No,No,Yes,1,48.86825802555816,No
KEYS,Technology,Scientific & Technical Instruments,57.164783,9.54391,0.18174,43.642,44.848181499999995,4.998357066666666,0.07851,43.826,No,No,Yes,Yes,3,61.902142735412404,Yes
CNH,Industrials,Farm & Heavy Construction Machinery,41.56,1.6581552,0.03914,335.044,37.725082,9.314798066666668,0.26411668,314.61633333333333,No,Yes,No,No,1,45.75320132413919,No
MU,Technology,Semiconductors,20.617105,10.646528,0.66638,6.33,54.09527633333333,12.04603556,0.340206001,42.3612,Yes,Yes,Yes,Yes,5,54.30602446308156,Yes
BG,Consumer Defensive,Farm Products,24.29526,1.3575059,0.071779996,97.995,24.29526,1.3575059,0.071779996,97.995,No,No,No,No,1,50.09990194944198,Yes
CARR,Industrials,Building Products & Equipment,44.929077,3.9755254,0.08966,91.998,36.347258999999994,6.665450816666667,0.2144216776666666,107.20183333333334,No,Yes,Yes,No,2,42.2414423783037,No
EXC,Utilities,Utilities - Regulated Electric,16.764706,1.5849843,0.09711,177.362,17.49529742857143,2.0865267,0.1134457142857142,176.60742857142856,Yes,Yes,No,No,2,47.19477127033002,No
CBRE,Real Estate,Real Estate Services,34.75744,5.242286,0.15798001,117.789,34.75744,5.242286,0.15798001,117.789,No,No,No,No,1,62.0588832604883,Yes
HIG,Financial Services,Insurance - Diversified,9.517265,1.9395926,0.22061001,22.33,9.984963533333334,1.1251721594333333,0.180390005,19.102666666666664,Yes,No,No,Yes,2,44.80254293148933,No
NOC,Industrials,Aerospace & Defense,18.280533,4.565487,0.26958,95.348,82.2465168,12.72012786,0.256833996,79.4648,Yes,Yes,No,Yes,4,65.89393724416624,Yes
SYK,Healthcare,Medical Devices,35.346115,5.6904287,0.16508,64.391,35.9182226,5.7168182000000005,0.163952004,42.5584,Yes,Yes,No,Yes,4,54.79848329066497,Yes
WSM,Consumer Cyclical,Specialty Retail,27.179373,15.267002,0.54007,79.878,20.6407,9.4327057,0.44208,154.226,No,No,Yes,Yes,3,57.34925029045376,Yes
WAT,Healthcare,Diagnostics & Research,105.218834,2.6544998,0.019199999,36.045,40.703307125,285.9395879375,0.2203071412857142,2161.667375,No,Yes,Yes,No,3,68.70927026325627,Yes
UPS,Industrials,Integrated Freight & Logistics,19.6171,5.961028,0.29602,189.9,26.5761666,7.6019212399999985,0.285378,102.3806,Yes,Yes,No,Yes,3,45.00550801870606,No
